,Season,Difference,away,home,score,week,winner,homeATT,homeMID,homeDEF,homeOVR,awayATT,awayMID,awayDEF,awayOVR,homeworth,homeage,awayworth,awayage,homesupport,awaysupport
52,2016.0,-5.0,MEDIPOL BAŞAKŞEHIR FK,AYTEMIZ ALANYASPOR,0 - 5,6.0,away,73.0,70.0,71.0,70.0,78.0,75.0,73.0,75.0,38.68,25.5,72.95,26.4,4541.0,3208.0
53,2016.0,1.0,ADANASPOR A.Ş.,ATIKER KONYASPOR,1 - 0,6.0,home,72.0,70.0,71.0,71.0,71.0,67.0,69.0,69.0,28.75,25.3,19.98,23.7,15723.0,4594.0
54,2016.0,-1.0,GALATASARAY A.Ş.,GENÇLERBIRLIĞI,0 - 1,7.0,away,69.0,70.0,70.0,70.0,76.0,77.0,74.0,76.0,36.78,24.1,129.35,25.1,2625.0,21351.0
55,2016.0,-1.0,BEŞIKTAŞ A.Ş.,KAYSERISPOR,0 - 1,7.0,away,73.0,72.0,70.0,71.0,78.0,78.0,76.0,78.0,45.85,25.0,177.4,25.3,5524.0,30448.0
56,2016.0,0.0,GAZIANTEPSPOR,KASIMPAŞA A.Ş.,0 - 0,7.0,Draw,69.0,71.0,71.0,70.0,71.0,69.0,68.0,70.0,39.5,23.4,40.55,24.6,1416.0,4236.0
57,2016.0,-1.0,KARDEMIR KARABÜKSPOR,ADANASPOR A.Ş.,1 - 2,7.0,away,71.0,67.0,69.0,69.0,71.0,70.0,70.0,70.0,19.98,23.7,36.08,25.8,4594.0,4422.0
58,2016.0,0.0,AYTEMIZ ALANYASPOR,FENERBAHÇE A.Ş.,1 - 1,7.0,Draw,80.0,77.0,78.0,77.0,73.0,70.0,71.0,70.0,168.68,24.8,38.68,25.5,16485.0,4541.0
59,2016.0,0.0,AKHISAR BELEDIYE GENÇLIK VE SPOR,TRABZONSPOR A.Ş.,0 - 0,7.0,Draw,73.0,74.0,76.0,74.0,70.0,71.0,71.0,70.0,95.95,23.8,50.2,26.7,17252.0,2501.0
60,2016.0,0.0,ATIKER KONYASPOR,MEDIPOL BAŞAKŞEHIR FK,1 - 1,7.0,Draw,78.0,75.0,73.0,75.0,72.0,70.0,71.0,71.0,72.95,26.4,28.75,25.3,3208.0,15723.0
61,2016.0,0.0,OSMANLISPOR FUTBOL KULÜBÜ,BURSASPOR,0 - 0,7.0,Draw,70.0,72.0,71.0,72.0,74.0,74.0,72.0,73.0,48.98,24.4,56.7,25.1,16106.0,3792.0
62,2016.0,0.0,ÇAYKUR RIZESPOR A.Ş.,ANTALYASPOR A.Ş.,1 - 1,7.0,Draw,81.0,71.0,72.0,71.0,76.0,68.0,68.0,69.0,41.8,25.4,34.68,22.6,12645.0,3369.0
